260_TQI_MIN,260_ENG_STAT,080_CF_Ems_Alive,386_WHL_SPD_Checksum_LSB
0.0,3.0,0.0,0.0
5.46875,3.0,8.0,1.0
0.0,3.0,9.0,2.0
5.078125,3.0,6.0,0.0
5.46875,3.0,7.0,1.0
0.0,3.0,3.0,0.0
5.078125,3.0,15.0,1.0
0.0,3.0,10.0,0.0
0.0,3.0,5.0,3.0
0.0,3.0,8.0,3.0
0.0,3.0,2.0,2.0
0.0,3.0,4.0,3.0
0.0,3.0,0.0,0.0
0.0,3.0,15.0,1.0
3.125,3.0,9.0,1.0
1.953125,3.0,10.0,1.0
0.0,3.0,14.0,0.0
0.0,3.0,3.0,0.0
0.390625,3.0,13.0,0.0
0.0,3.0,9.0,0.0
0.390625,3.0,1.0,2.0
5.078125,3.0,8.0,1.0
1.953125,3.0,0.0,1.0
0.0,3.0,13.0,3.0
5.078125,3.0,2.0,1.0
0.0,3.0,11.0,2.0
0.0,3.0,14.0,0.0
0.0,3.0,14.0,2.0
1.171875,3.0,9.0,1.0
5.46875,3.0,13.0,1.0
0.0,3.0,11.0,1.0
5.859375,3.0,1.0,2.0
0.0,3.0,4.0,1.0
0.0,3.0,4.0,3.0
0.0,3.0,14.0,1.0
5.46875,3.0,0.0,1.0
0.0,3.0,3.0,0.0
0.0,3.0,13.0,2.0
5.078125,3.0,2.0,1.0
5.46875,3.0,2.0,0.0
4.296875,3.0,14.0,1.0
0.0,3.0,11.0,3.0
0.0,3.0,11.0,1.0
5.078125,3.0,5.0,3.0
5.46875,3.0,6.0,1.0
4.6875,3.0,13.0,2.0
0.0,3.0,3.0,1.0
0.0,3.0,14.0,3.0
5.46875,3.0,3.0,1.0
0.0,3.0,14.0,1.0
5.078125,3.0,5.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,1.0,1.0
5.078125,3.0,11.0,1.0
7.8125,3.0,0.0,3.0
0.0,3.0,6.0,2.0
5.078125,3.0,4.0,1.0
4.6875,3.0,9.0,1.0
0.0,3.0,8.0,0.0
0.0,3.0,9.0,2.0
0.0,3.0,5.0,1.0
5.078125,3.0,6.0,1.0
0.0,3.0,0.0,0.0
0.0,3.0,15.0,3.0
0.0,3.0,7.0,3.0
0.0,3.0,0.0,2.0
0.0,3.0,0.0,0.0
0.0,3.0,0.0,2.0
0.0,3.0,13.0,2.0
0.0,3.0,6.0,2.0
0.0,3.0,3.0,1.0
0.0,3.0,10.0,1.0
0.0,3.0,1.0,1.0
5.46875,3.0,13.0,1.0
6.25,3.0,10.0,3.0
0.0,3.0,2.0,0.0
0.0,3.0,5.0,3.0
0.0,3.0,7.0,2.0
0.0,3.0,11.0,0.0
0.0,3.0,7.0,0.0
5.078125,3.0,2.0,1.0
0.0,3.0,1.0,3.0
0.0,3.0,7.0,2.0
5.859375,3.0,4.0,1.0
5.46875,3.0,7.0,1.0
0.0,3.0,7.0,0.0
0.0,3.0,8.0,1.0
5.46875,3.0,0.0,1.0
0.0,3.0,5.0,2.0
0.0,3.0,2.0,1.0
0.0,3.0,10.0,2.0
0.0,3.0,3.0,2.0
4.296875,3.0,12.0,1.0
0.0,3.0,7.0,2.0
0.0,3.0,5.0,2.0
0.0,3.0,10.0,2.0
0.0,3.0,1.0,3.0
0.0,3.0,2.0,2.0
5.46875,3.0,2.0,1.0
4.296875,3.0,6.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,10.0,3.0
0.0,3.0,7.0,1.0
0.0,3.0,12.0,1.0
0.0,3.0,3.0,3.0
5.46875,3.0,11.0,2.0
0.0,3.0,0.0,3.0
0.0,3.0,4.0,1.0
5.46875,3.0,8.0,2.0
5.46875,3.0,15.0,3.0
5.859375,3.0,4.0,1.0
0.0,3.0,13.0,2.0
5.46875,3.0,2.0,1.0
0.0,3.0,8.0,1.0
7.421875,3.0,0.0,3.0
5.46875,3.0,15.0,0.0
0.0,3.0,6.0,2.0
0.0,3.0,3.0,0.0
5.46875,3.0,8.0,1.0
0.0,3.0,2.0,2.0
0.0,3.0,3.0,2.0
0.0,3.0,2.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,15.0,1.0
0.0,3.0,1.0,2.0
0.0,3.0,0.0,0.0
0.0,3.0,8.0,2.0
0.0,3.0,13.0,3.0
5.078125,3.0,5.0,1.0
0.0,3.0,1.0,2.0
0.0,3.0,6.0,1.0
0.0,3.0,3.0,3.0
5.46875,3.0,11.0,1.0
0.0,3.0,12.0,3.0
5.46875,3.0,13.0,0.0
5.078125,3.0,3.0,1.0
4.6875,3.0,1.0,2.0
0.0,3.0,12.0,1.0
5.078125,3.0,9.0,1.0
5.859375,3.0,10.0,2.0
0.0,3.0,12.0,1.0
0.0,3.0,11.0,3.0
0.0,3.0,2.0,1.0
5.46875,3.0,7.0,1.0
5.859375,3.0,9.0,2.0
2.34375,3.0,6.0,3.0
0.0,3.0,5.0,3.0
0.0,3.0,15.0,3.0
5.859375,3.0,12.0,2.0
5.46875,3.0,4.0,1.0
0.0,3.0,10.0,3.0
0.0,3.0,9.0,3.0
0.0,3.0,14.0,2.0
0.0,3.0,3.0,0.0
0.0,3.0,3.0,0.0
5.078125,3.0,15.0,1.0
0.0,3.0,13.0,0.0
5.46875,3.0,0.0,1.0
0.0,3.0,3.0,3.0
0.0,3.0,1.0,3.0
0.0,3.0,5.0,2.0
6.25,3.0,12.0,1.0
0.0,3.0,12.0,3.0
0.0,3.0,7.0,0.0
0.0,3.0,12.0,0.0
0.0,3.0,3.0,3.0
4.6875,3.0,2.0,3.0
5.46875,3.0,11.0,1.0
1.171875,3.0,11.0,2.0
0.0,3.0,3.0,2.0
0.0,3.0,6.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,11.0,2.0
5.46875,3.0,5.0,1.0
4.6875,3.0,6.0,1.0
0.0,3.0,6.0,1.0
0.0,3.0,13.0,0.0
1.171875,3.0,8.0,3.0
0.0,3.0,5.0,0.0
0.0,3.0,12.0,0.0
5.859375,3.0,14.0,1.0
5.078125,3.0,3.0,1.0
0.0,3.0,2.0,2.0
0.0,3.0,14.0,0.0
0.0,3.0,0.0,2.0
5.46875,3.0,6.0,2.0
0.0,3.0,8.0,3.0
5.078125,3.0,15.0,1.0
0.0,3.0,10.0,0.0
0.0,3.0,6.0,3.0
0.0,3.0,12.0,2.0
0.0,3.0,4.0,3.0
5.859375,3.0,5.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,9.0,3.0
0.0,3.0,15.0,2.0
1.5625,3.0,5.0,0.0
0.0,3.0,8.0,0.0
0.0,3.0,2.0,0.0
5.078125,3.0,8.0,2.0
0.0,3.0,5.0,2.0
5.078125,3.0,11.0,1.0
0.0,3.0,1.0,3.0
5.078125,3.0,0.0,1.0
0.0,3.0,1.0,0.0
0.0,3.0,9.0,3.0
0.0,3.0,10.0,0.0
0.0,3.0,10.0,0.0
5.859375,3.0,15.0,3.0
0.0,3.0,0.0,0.0
5.46875,3.0,11.0,2.0
0.0,3.0,1.0,1.0
0.0,3.0,10.0,2.0
0.0,3.0,3.0,1.0
5.078125,3.0,9.0,1.0
0.0,3.0,1.0,1.0
0.0,3.0,8.0,0.0
5.46875,3.0,10.0,3.0
5.078125,3.0,7.0,1.0
5.078125,3.0,4.0,1.0
5.46875,3.0,10.0,1.0
0.0,3.0,4.0,3.0
0.0,3.0,3.0,0.0
0.0,3.0,14.0,3.0
5.46875,3.0,11.0,3.0
0.0,3.0,5.0,3.0
0.0,3.0,7.0,2.0
0.0,3.0,3.0,1.0
0.0,3.0,4.0,3.0
5.078125,3.0,7.0,1.0
0.0,3.0,1.0,0.0
5.078125,3.0,11.0,1.0
0.0,3.0,12.0,2.0
0.0,3.0,11.0,3.0
0.0,3.0,10.0,1.0
5.859375,3.0,2.0,1.0
7.421875,3.0,12.0,1.0
0.0,3.0,9.0,1.0
0.0,3.0,15.0,2.0
0.0,3.0,9.0,2.0
0.0,3.0,2.0,1.0
0.0,3.0,9.0,2.0
0.0,3.0,2.0,1.0
5.078125,3.0,14.0,1.0
1.953125,3.0,13.0,3.0
5.46875,3.0,1.0,2.0
5.46875,3.0,13.0,1.0
0.0,3.0,13.0,3.0
0.0,3.0,14.0,3.0
0.0,3.0,10.0,2.0
0.0,3.0,1.0,1.0
5.859375,3.0,13.0,0.0
5.46875,3.0,3.0,1.0
5.46875,3.0,11.0,1.0
0.0,3.0,5.0,2.0
5.46875,3.0,13.0,0.0
5.078125,3.0,5.0,1.0
5.078125,3.0,6.0,0.0
0.0,3.0,13.0,3.0
5.46875,3.0,6.0,3.0
5.078125,3.0,6.0,2.0
5.078125,3.0,15.0,1.0
0.0,3.0,15.0,3.0
0.0,3.0,13.0,1.0
4.6875,3.0,0.0,1.0
0.0,3.0,2.0,3.0
5.46875,3.0,0.0,2.0
5.078125,3.0,12.0,1.0
5.46875,3.0,12.0,1.0
0.0,3.0,0.0,3.0
4.6875,3.0,14.0,0.0
0.0,3.0,1.0,2.0
0.0,3.0,3.0,3.0
0.0,3.0,7.0,0.0
0.0,3.0,0.0,2.0
5.859375,3.0,3.0,1.0
5.859375,3.0,4.0,1.0
0.0,3.0,7.0,1.0
0.0,3.0,9.0,1.0
0.0,3.0,11.0,2.0
5.078125,3.0,6.0,3.0
0.0,3.0,12.0,0.0
5.46875,3.0,12.0,1.0
5.859375,3.0,0.0,1.0
0.0,3.0,5.0,1.0
0.0,3.0,15.0,2.0
4.296875,3.0,5.0,1.0
0.0,3.0,9.0,1.0
0.0,3.0,12.0,0.0
0.0,3.0,0.0,2.0
0.0,3.0,6.0,0.0
5.46875,3.0,0.0,1.0
5.46875,3.0,2.0,1.0
0.0,3.0,9.0,3.0
5.078125,3.0,7.0,1.0
5.46875,3.0,10.0,0.0
5.078125,3.0,13.0,1.0
5.46875,3.0,13.0,2.0
4.6875,3.0,8.0,0.0
0.0,3.0,14.0,1.0
0.0,3.0,4.0,3.0
5.078125,3.0,15.0,1.0
0.0,3.0,5.0,1.0
0.0,3.0,0.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,9.0,1.0
0.0,3.0,1.0,1.0
0.0,3.0,7.0,0.0
0.0,3.0,2.0,3.0
0.0,3.0,3.0,1.0
5.859375,3.0,8.0,3.0
6.25,3.0,10.0,1.0
5.078125,3.0,9.0,1.0
0.0,3.0,0.0,2.0
5.859375,3.0,4.0,2.0
5.46875,3.0,9.0,1.0
0.0,3.0,5.0,2.0
5.078125,3.0,10.0,1.0
0.0,3.0,5.0,0.0
0.0,3.0,0.0,1.0
5.859375,3.0,2.0,0.0
0.0,3.0,2.0,3.0
0.0,3.0,14.0,0.0
5.46875,3.0,1.0,0.0
0.0,3.0,3.0,1.0
5.078125,3.0,6.0,1.0
0.0,3.0,6.0,3.0
5.46875,3.0,11.0,1.0
5.078125,3.0,12.0,1.0
0.0,3.0,11.0,3.0
1.5625,3.0,1.0,2.0
0.0,3.0,2.0,2.0
1.5625,3.0,9.0,3.0
6.640625,3.0,2.0,0.0
5.859375,3.0,15.0,1.0
0.0,3.0,2.0,2.0
3.515625,3.0,3.0,3.0
0.0,3.0,2.0,0.0
0.0,3.0,7.0,1.0
0.0,3.0,13.0,3.0
5.078125,3.0,1.0,0.0
0.0,3.0,1.0,1.0
5.078125,3.0,5.0,3.0
0.0,3.0,12.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,5.0,2.0
5.46875,3.0,12.0,1.0
0.0,3.0,7.0,0.0
0.0,3.0,4.0,0.0
5.46875,3.0,4.0,1.0
5.46875,3.0,11.0,1.0
0.0,3.0,12.0,1.0
0.0,3.0,4.0,3.0
0.0,3.0,5.0,0.0
0.0,3.0,8.0,2.0
0.0,3.0,10.0,1.0
0.0,3.0,5.0,1.0
5.46875,3.0,13.0,1.0
0.0,3.0,9.0,2.0
0.0,3.0,10.0,1.0
6.640625,3.0,15.0,1.0
0.390625,3.0,14.0,1.0
5.078125,3.0,1.0,1.0
0.0,3.0,10.0,0.0
0.0,3.0,6.0,1.0
5.859375,3.0,5.0,1.0
5.46875,3.0,9.0,1.0
0.0,3.0,3.0,1.0
5.46875,3.0,4.0,1.0
0.0,3.0,12.0,3.0
0.0,3.0,5.0,1.0
0.0,3.0,7.0,1.0
5.078125,3.0,10.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,8.0,0.0
5.078125,3.0,4.0,1.0
0.0,3.0,4.0,3.0
5.46875,3.0,14.0,3.0
0.0,3.0,0.0,3.0
4.6875,3.0,12.0,3.0
0.0,3.0,4.0,0.0
4.6875,3.0,5.0,1.0
0.0,3.0,15.0,1.0
0.0,3.0,11.0,1.0
0.0,3.0,6.0,1.0
0.0,3.0,15.0,1.0
0.0,3.0,10.0,1.0
5.46875,3.0,9.0,1.0
0.0,3.0,4.0,2.0
5.078125,3.0,5.0,2.0
0.0,3.0,7.0,3.0
0.0,3.0,8.0,2.0
0.0,3.0,12.0,0.0
0.0,3.0,12.0,0.0
5.46875,3.0,10.0,1.0
0.0,3.0,8.0,3.0
0.0,3.0,9.0,0.0
0.0,3.0,7.0,1.0
0.0,3.0,8.0,1.0
0.0,3.0,11.0,2.0
5.859375,3.0,8.0,1.0
5.46875,3.0,11.0,2.0
0.0,3.0,6.0,3.0
0.0,3.0,7.0,1.0
0.0,3.0,3.0,2.0
0.0,3.0,10.0,1.0
0.0,3.0,5.0,3.0
0.0,3.0,0.0,1.0
5.078125,3.0,4.0,1.0
5.859375,3.0,3.0,1.0
5.46875,3.0,2.0,1.0
0.0,3.0,9.0,2.0
0.0,3.0,4.0,0.0
0.0,3.0,11.0,2.0
4.6875,3.0,6.0,1.0
0.0,3.0,2.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,2.0,3.0
0.0,3.0,0.0,0.0
0.0,3.0,10.0,3.0
0.0,3.0,8.0,2.0
0.390625,3.0,4.0,1.0
0.0,3.0,7.0,1.0
0.0,3.0,12.0,3.0
5.46875,3.0,7.0,3.0
5.078125,3.0,1.0,1.0
0.0,3.0,6.0,3.0
0.0,3.0,7.0,2.0
0.0,3.0,14.0,3.0
0.0,3.0,14.0,3.0
5.078125,3.0,5.0,1.0
5.078125,3.0,11.0,2.0
0.0,3.0,2.0,0.0
0.0,3.0,7.0,0.0
5.46875,3.0,3.0,1.0
5.46875,3.0,9.0,1.0
0.0,3.0,14.0,1.0
4.6875,3.0,13.0,1.0
0.0,3.0,14.0,1.0
6.25,3.0,13.0,2.0
5.078125,3.0,13.0,1.0
0.0,3.0,2.0,2.0
5.46875,3.0,5.0,1.0
0.0,3.0,4.0,0.0
5.078125,3.0,8.0,1.0
5.078125,3.0,11.0,1.0
0.0,3.0,11.0,1.0
3.90625,3.0,6.0,1.0
0.0,3.0,1.0,0.0
0.0,3.0,9.0,1.0
5.859375,3.0,10.0,3.0
5.078125,3.0,5.0,1.0
0.0,3.0,8.0,2.0
0.0,3.0,6.0,3.0
5.46875,3.0,3.0,1.0
0.0,3.0,13.0,1.0
0.0,3.0,11.0,3.0
0.0,3.0,8.0,1.0
5.078125,3.0,13.0,1.0
5.078125,3.0,8.0,1.0
0.0,3.0,14.0,0.0
0.0,3.0,9.0,3.0
5.46875,3.0,0.0,1.0
0.0,3.0,8.0,2.0
0.0,3.0,3.0,3.0
5.46875,3.0,7.0,1.0
0.0,3.0,9.0,0.0
5.078125,3.0,15.0,2.0
0.0,3.0,12.0,3.0
0.0,3.0,14.0,3.0
0.0,3.0,1.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,12.0,1.0
0.0,3.0,7.0,0.0
5.46875,3.0,4.0,1.0
3.125,3.0,1.0,2.0
0.0,3.0,4.0,2.0
0.0,3.0,2.0,3.0
0.0,3.0,3.0,1.0
5.859375,3.0,11.0,0.0
5.859375,3.0,0.0,1.0
0.0,3.0,0.0,0.0
0.0,3.0,2.0,0.0
5.078125,3.0,4.0,1.0
0.0,3.0,1.0,3.0
5.078125,3.0,12.0,1.0
0.0,3.0,0.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,15.0,3.0
0.0,3.0,1.0,0.0
0.390625,3.0,3.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,7.0,0.0
3.90625,3.0,11.0,1.0
0.0,3.0,2.0,3.0
3.90625,3.0,7.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,8.0,3.0
0.0,3.0,2.0,1.0
5.078125,3.0,0.0,1.0
5.46875,3.0,15.0,1.0
0.0,3.0,14.0,2.0
0.0,3.0,6.0,2.0
5.46875,3.0,11.0,0.0
5.078125,3.0,14.0,1.0
0.0,3.0,10.0,3.0
0.0,3.0,1.0,1.0
5.46875,3.0,3.0,1.0
0.0,3.0,12.0,0.0
0.0,3.0,4.0,1.0
0.0,3.0,2.0,3.0
0.0,3.0,3.0,0.0
0.0,3.0,8.0,2.0
0.0,3.0,10.0,2.0
5.46875,3.0,5.0,1.0
0.0,3.0,13.0,3.0
0.0,3.0,11.0,1.0
0.0,3.0,12.0,0.0
0.0,3.0,8.0,2.0
0.0,3.0,9.0,3.0
5.46875,3.0,8.0,1.0
0.0,3.0,8.0,1.0
0.0,3.0,4.0,1.0
5.078125,3.0,6.0,1.0
0.0,3.0,13.0,1.0
0.0,3.0,2.0,2.0
0.0,3.0,11.0,0.0
3.125,3.0,11.0,2.0
0.0,3.0,0.0,3.0
0.0,3.0,6.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,2.0,3.0
3.90625,3.0,9.0,0.0
5.078125,3.0,11.0,1.0
5.46875,3.0,2.0,3.0
0.0,3.0,3.0,2.0
0.0,3.0,0.0,3.0
5.46875,3.0,1.0,1.0
0.0,3.0,7.0,1.0
0.0,3.0,11.0,3.0
1.953125,3.0,14.0,3.0
1.953125,3.0,9.0,3.0
5.078125,3.0,8.0,1.0
0.0,3.0,14.0,1.0
5.46875,3.0,14.0,3.0
5.46875,3.0,7.0,0.0
0.0,3.0,5.0,2.0
0.0,3.0,1.0,1.0
0.0,3.0,2.0,0.0
0.0,3.0,9.0,1.0
0.0,3.0,11.0,1.0
5.46875,3.0,9.0,1.0
0.0,3.0,5.0,2.0
0.0,3.0,13.0,3.0
0.0,3.0,5.0,3.0
0.0,3.0,12.0,2.0
0.0,3.0,12.0,2.0
5.078125,3.0,10.0,1.0
0.0,3.0,12.0,1.0
5.078125,3.0,13.0,3.0
0.0,3.0,10.0,0.0
0.0,3.0,7.0,2.0
0.0,3.0,9.0,0.0
0.0,3.0,0.0,1.0
0.0,3.0,4.0,0.0
0.0,3.0,13.0,0.0
5.078125,3.0,8.0,1.0
0.0,3.0,5.0,3.0
0.0,3.0,8.0,2.0
5.078125,3.0,2.0,1.0
5.078125,3.0,14.0,1.0
0.0,3.0,5.0,2.0
0.0,3.0,2.0,1.0
1.171875,3.0,7.0,3.0
5.078125,3.0,14.0,1.0
0.0,3.0,1.0,3.0
0.0,3.0,9.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,12.0,2.0
0.0,3.0,2.0,1.0
5.46875,3.0,14.0,1.0
5.078125,3.0,7.0,1.0
5.078125,3.0,0.0,1.0
5.46875,3.0,12.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,5.0,1.0
0.0,3.0,1.0,1.0
5.078125,3.0,12.0,1.0
0.0,3.0,12.0,1.0
5.46875,3.0,1.0,3.0
0.0,3.0,1.0,1.0
0.0,3.0,10.0,2.0
5.46875,3.0,0.0,1.0
0.0,3.0,2.0,1.0
4.6875,3.0,9.0,1.0
0.0,3.0,3.0,2.0
0.0,3.0,14.0,0.0
5.078125,3.0,0.0,1.0
0.78125,3.0,6.0,1.0
0.0,3.0,2.0,1.0
6.25,3.0,13.0,1.0
0.0,3.0,14.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,2.0,2.0
5.078125,3.0,2.0,1.0
5.46875,3.0,9.0,1.0
5.078125,3.0,14.0,3.0
0.0,3.0,13.0,3.0
5.078125,3.0,5.0,1.0
0.0,3.0,6.0,1.0
5.46875,3.0,5.0,1.0
0.0,3.0,12.0,2.0
5.46875,3.0,5.0,1.0
0.0,3.0,5.0,2.0
0.0,3.0,2.0,2.0
0.0,3.0,2.0,1.0
0.0,3.0,3.0,1.0
0.0,3.0,14.0,2.0
5.078125,3.0,14.0,1.0
0.0,3.0,12.0,0.0
5.078125,3.0,1.0,3.0
5.46875,3.0,3.0,1.0
0.0,3.0,14.0,3.0
0.0,3.0,3.0,1.0
0.0,3.0,10.0,0.0
0.0,3.0,9.0,1.0
0.0,3.0,10.0,1.0
5.078125,3.0,15.0,1.0
0.0,3.0,9.0,0.0
0.0,3.0,1.0,0.0
5.078125,3.0,4.0,3.0
5.46875,3.0,14.0,1.0
0.0,3.0,2.0,2.0
0.0,3.0,8.0,3.0
5.46875,3.0,1.0,3.0
0.0,3.0,11.0,1.0
0.0,3.0,11.0,3.0
0.0,3.0,11.0,3.0
0.0,3.0,7.0,1.0
0.0,3.0,13.0,1.0
0.0,3.0,14.0,3.0
5.859375,3.0,4.0,1.0
5.46875,3.0,6.0,1.0
0.0,3.0,15.0,2.0
5.46875,3.0,11.0,2.0
5.078125,3.0,7.0,1.0
5.859375,3.0,4.0,0.0
6.640625,3.0,6.0,2.0
0.0,3.0,13.0,3.0
5.46875,3.0,12.0,1.0
3.515625,3.0,0.0,1.0
5.078125,3.0,3.0,1.0
0.0,3.0,3.0,2.0
0.0,3.0,5.0,2.0
5.46875,3.0,11.0,1.0
5.078125,3.0,4.0,1.0
4.6875,3.0,2.0,1.0
0.0,3.0,0.0,1.0
0.0,3.0,12.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,8.0,2.0
5.078125,3.0,2.0,1.0
0.0,3.0,2.0,2.0
5.46875,3.0,6.0,1.0
0.0,3.0,2.0,2.0
0.0,3.0,14.0,3.0
5.46875,3.0,8.0,1.0
0.0,3.0,7.0,0.0
0.0,3.0,1.0,2.0
0.0,3.0,4.0,0.0
5.859375,3.0,3.0,2.0
0.0,3.0,4.0,1.0
0.0,3.0,15.0,1.0
5.46875,3.0,1.0,1.0
0.0,3.0,13.0,3.0
0.0,3.0,13.0,1.0
5.46875,3.0,4.0,1.0
5.46875,3.0,14.0,1.0
0.0,3.0,8.0,2.0
6.25,3.0,8.0,1.0
0.390625,3.0,2.0,3.0
0.0,3.0,9.0,2.0
0.0,3.0,0.0,3.0
0.0,3.0,1.0,3.0
0.0,3.0,5.0,2.0
0.0,3.0,7.0,3.0
5.46875,3.0,4.0,1.0
0.0,3.0,7.0,3.0
5.078125,3.0,10.0,1.0
5.46875,3.0,9.0,1.0
0.78125,3.0,13.0,1.0
0.0,3.0,12.0,0.0
0.0,3.0,12.0,3.0
5.46875,3.0,9.0,0.0
0.0,3.0,7.0,3.0
5.46875,3.0,8.0,1.0
5.46875,3.0,4.0,1.0
5.859375,3.0,7.0,1.0
5.859375,3.0,7.0,0.0
0.0,3.0,8.0,3.0
0.0,3.0,5.0,2.0
5.078125,3.0,8.0,0.0
0.0,3.0,1.0,3.0
5.078125,3.0,4.0,1.0
3.515625,3.0,1.0,1.0
0.0,3.0,14.0,2.0
0.0,3.0,13.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,7.0,1.0
0.0,3.0,3.0,3.0
0.0,3.0,11.0,3.0
5.078125,3.0,1.0,0.0
5.46875,3.0,2.0,2.0
5.078125,3.0,3.0,1.0
5.078125,3.0,6.0,1.0
0.390625,3.0,8.0,2.0
5.46875,3.0,14.0,1.0
4.6875,3.0,9.0,3.0
0.0,3.0,4.0,3.0
0.0,3.0,13.0,2.0
5.078125,3.0,2.0,1.0
1.953125,3.0,5.0,0.0
0.0,3.0,2.0,3.0
5.859375,3.0,3.0,1.0
0.0,3.0,9.0,1.0
5.078125,3.0,15.0,1.0
5.078125,3.0,8.0,1.0
0.0,3.0,1.0,3.0
5.859375,3.0,12.0,0.0
5.078125,3.0,10.0,1.0
0.390625,3.0,15.0,1.0
0.0,3.0,12.0,3.0
0.0,3.0,14.0,2.0
2.734375,3.0,12.0,3.0
5.46875,3.0,9.0,0.0
0.0,3.0,4.0,2.0
5.46875,3.0,14.0,1.0
0.0,3.0,10.0,2.0
5.078125,3.0,4.0,1.0
0.0,3.0,12.0,2.0
0.0,3.0,5.0,0.0
0.0,3.0,12.0,2.0
0.0,3.0,0.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,1.0,3.0
0.0,3.0,4.0,3.0
5.859375,3.0,0.0,1.0
5.46875,3.0,0.0,1.0
0.0,3.0,4.0,0.0
0.0,3.0,1.0,3.0
0.0,3.0,10.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,8.0,3.0
5.46875,3.0,12.0,1.0
5.859375,3.0,14.0,1.0
5.859375,3.0,4.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,12.0,2.0
0.0,3.0,7.0,1.0
7.03125,3.0,10.0,2.0
0.0,3.0,14.0,0.0
0.0,3.0,7.0,3.0
5.46875,3.0,5.0,1.0
5.078125,3.0,9.0,1.0
5.46875,3.0,3.0,0.0
5.078125,3.0,6.0,1.0
0.0,3.0,15.0,1.0
0.0,3.0,11.0,2.0
0.0,3.0,0.0,3.0
0.0,3.0,1.0,1.0
5.078125,3.0,0.0,1.0
0.0,3.0,8.0,0.0
5.078125,3.0,9.0,1.0
0.0,3.0,0.0,0.0
0.0,3.0,13.0,3.0
0.0,3.0,15.0,1.0
0.0,3.0,11.0,1.0
0.0,3.0,7.0,3.0
5.46875,3.0,9.0,1.0
4.6875,3.0,2.0,3.0
0.0,3.0,2.0,0.0
0.0,3.0,0.0,1.0
0.0,3.0,4.0,0.0
0.0,3.0,1.0,3.0
0.0,3.0,8.0,1.0
0.0,3.0,8.0,1.0
0.0,3.0,9.0,2.0
0.0,3.0,4.0,3.0
0.0,3.0,14.0,2.0
5.078125,3.0,14.0,1.0
0.0,3.0,4.0,1.0
0.0,3.0,8.0,0.0
5.46875,3.0,13.0,1.0
5.078125,3.0,3.0,3.0
5.078125,3.0,2.0,1.0
0.0,3.0,7.0,3.0
0.0,3.0,10.0,2.0
0.0,3.0,0.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,0.0,0.0
6.25,3.0,9.0,0.0
5.46875,3.0,13.0,1.0
0.0,3.0,1.0,0.0
0.0,3.0,2.0,3.0
0.0,3.0,7.0,3.0
0.0,3.0,2.0,3.0
5.859375,3.0,2.0,3.0
0.0,3.0,7.0,1.0
0.0,3.0,14.0,2.0
0.0,3.0,14.0,0.0
5.46875,3.0,14.0,1.0
0.0,3.0,6.0,0.0
0.0,3.0,0.0,3.0
0.0,3.0,8.0,2.0
0.0,3.0,5.0,1.0
5.46875,3.0,8.0,2.0
0.0,3.0,3.0,1.0
7.421875,3.0,7.0,0.0
0.0,3.0,10.0,3.0
0.0,3.0,11.0,2.0
0.0,3.0,3.0,2.0
0.0,3.0,8.0,3.0
5.46875,3.0,12.0,1.0
0.0,3.0,0.0,2.0
5.46875,3.0,15.0,1.0
5.46875,3.0,4.0,1.0
0.0,3.0,10.0,3.0
0.0,3.0,11.0,1.0
0.0,3.0,15.0,2.0
0.0,3.0,2.0,0.0
5.078125,3.0,3.0,1.0
0.0,3.0,7.0,2.0
0.0,3.0,14.0,3.0
1.5625,3.0,9.0,2.0
0.0,3.0,1.0,1.0
0.0,3.0,8.0,1.0
5.46875,3.0,11.0,1.0
0.0,3.0,11.0,1.0
0.0,3.0,4.0,3.0
0.0,3.0,14.0,2.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,2.0
0.0,3.0,7.0,0.0
0.0,3.0,9.0,0.0
5.46875,3.0,12.0,1.0
0.0,3.0,15.0,2.0
